path	sha256	width	height	viewport	case_id	state	flows	locale	registry_status	provenance
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHECKOUT-STAMP-KO-FL-004-ko-1440x1000-desktop-chromium-darwin.png	798583e1bc3d35db5f6009a214635dd8121e3f752e760c36f121926be1ce4bd4	1440	1000	1440x1000	B-PX-CHECKOUT-STAMP-KO	CHECKOUT-STAMP	FL-004	ko	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CITY-FALLBACK-KO-FL-001-ko-1440x1000-desktop-chromium-darwin.png	837ae19ea7196da890ed6d119304d71142e00df8d75722b794dd786b8fa31b1a	1440	1000	1440x1000	B-PX-CITY-FALLBACK-KO	CITY-FALLBACK	FL-001	ko	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CITY-FILTERED-MAP-EN-FL-001-en-1440x1000-desktop-chromium-darwin.png	e11b816a62374b80971bc8688ae2c41882f6afe7146ad01a7cd4a05b7e7553c2	1440	1000	1440x1000	B-PX-CITY-FILTERED-MAP-EN	CITY-FILTERED-MAP	FL-001	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CITY-LIST-EN-FL-001-en-1440x1000-desktop-chromium-darwin.png	de9710408271bb172c3f5b87c26b67cb72a3bb7031267c99898a16160fb0f14e	1440	1000	1440x1000	B-PX-CITY-LIST-EN	CITY-LIST	FL-001	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CITY-LIVE-EN-FL-001-FL-014-en-1440x1000-desktop-chromium-darwin.png	efa67b8d58f0bbb59b1dc0db1a8ecf6d1770080c6cd9625c5c8ee08d5d0ea61c	1440	1000	1440x1000	B-PX-CITY-LIVE-EN	CITY-LIVE	FL-001,FL-014	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CITY-LIVE-KO-FL-001-FL-014-ko-1440x1000-desktop-chromium-darwin.png	2c40c2a5559be803c1606e6294d5119b4f105597e14cecedf645ed390dc0d64e	1440	1000	1440x1000	B-PX-CITY-LIVE-KO	CITY-LIVE	FL-001,FL-014	ko	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-DISCOVERY-RESET-CONFIRM-EN-FL-007-FL-008-FL-009-en-1440x1000-desktop-chromium-darwin.png	3b3c32d032f6ad0a77d2e951e2f174dae50df101688a4e52caeb839ebdbffc19	1440	1000	1440x1000	B-PX-DISCOVERY-RESET-CONFIRM-EN	DISCOVERY-RESET-CONFIRM	FL-007,FL-008,FL-009	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-FEEDBACK-KO-FL-003-FL-015-ko-1440x1000-desktop-chromium-darwin.png	815895c48e57d7bcf9699780fe874ee4350d1a42f35e80dc4580ffcf88222877	1440	1000	1440x1000	B-PX-FEEDBACK-KO	FEEDBACK	FL-003,FL-015	ko	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-GATE-ACCOUNT-FAIL-KO-FL-010-ko-1440x1000-desktop-chromium-darwin.png	c5e412712576343d8a978bae436cd729debaa82d8ad7d92246f605f059c507a4	1440	1000	1440x1000	B-PX-GATE-ACCOUNT-FAIL-KO	GATE-ACCOUNT-FAIL	FL-010	ko	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-GATE-AGE-FAIL-KO-FL-002-FL-013-ko-1440x1000-desktop-chromium-darwin.png	7c8a189053004cc70a7489b3ed9f1fbe31be747c3d0971669e0162bffbd233bd	1440	1000	1440x1000	B-PX-GATE-AGE-FAIL-KO	GATE-AGE-FAIL	FL-002,FL-013	ko	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-GATE-PAYMENT-EN-FL-017-en-1440x1000-desktop-chromium-darwin.png	041da866128a2d17e1aac8bd1300f771d76e4ae9c165e0bb7d808ed648b9c7c5	1440	1000	1440x1000	B-PX-GATE-PAYMENT-EN	GATE-PAYMENT	FL-017	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-GATE-PAYMENT-FAIL-KO-FL-017-ko-1440x1000-desktop-chromium-darwin.png	b671243f5130aa1017dbd8211190c26479b254b3d4dee6094fd9719e5b1aa622	1440	1000	1440x1000	B-PX-GATE-PAYMENT-FAIL-KO	GATE-PAYMENT-FAIL	FL-017	ko	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-GATE-PERSON-CX-KO-FL-005-ko-1440x1000-desktop-chromium-darwin.png	ecd32a54f9fa827f659d85cd8a22f6131babfcf60031ac57265c246fdb3d80fa	1440	1000	1440x1000	B-PX-GATE-PERSON-CX-KO	GATE-PERSON-CX	FL-005	ko	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-GATE-PERSON-PASSPORT-EN-FL-006-FL-012-en-1440x1000-desktop-chromium-darwin.png	521f1879d9cf22a2825fc2554d589497cda67d861c0816742559a75f5963dab1	1440	1000	1440x1000	B-PX-GATE-PERSON-PASSPORT-EN	GATE-PERSON-PASSPORT	FL-006,FL-012	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-GATE-RESIDENCE-UNSUPPORTED-EN-FL-006-en-1440x1000-desktop-chromium-darwin.png	906bc4a21c0b38c0bf52f5aace384ad5bd42f21f67bb85d8c24484d9046beac1	1440	1000	1440x1000	B-PX-GATE-RESIDENCE-UNSUPPORTED-EN	GATE-PERSON-RESIDENCE-UNSUPPORTED	FL-006	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-LABS-BRIDGE-FAIL-EN-FL-018-en-1440x1000-desktop-chromium-darwin.png	931238c9627340db6330ebdd5431863ac6b8cbfd5358959c8642911010242bb8	1440	1000	1440x1000	B-PX-LABS-BRIDGE-FAIL-EN	LABS-BRIDGE-FAIL	FL-018	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-LABS-BRIDGE-SUCCESS-EN-FL-018-en-1440x1000-desktop-chromium-darwin.png	9f2589b2e3aa0c3b2ad712589e8463ebca477e1a37946ca6eca53297f7c6df6a	1440	1000	1440x1000	B-PX-LABS-BRIDGE-SUCCESS-EN	LABS-BRIDGE-SUCCESS	FL-018	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-LABS-EN-FL-004-FL-016-FL-018-en-1440x1000-desktop-chromium-darwin.png	bba712a128dfc43e557561d6d3a78c41df5bd16389bc7fefff8cf518d6617a6f	1440	1000	1440x1000	B-PX-LABS-EN	LABS	FL-004,FL-016,FL-018	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-LABS-TRAIT-FAIL-KO-FL-016-ko-1440x1000-desktop-chromium-darwin.png	66801a904f098a6594b9c7fdb75fdf0735013b0590f784dfb89c10f431c8922c	1440	1000	1440x1000	B-PX-LABS-TRAIT-FAIL-KO	LABS-TRAIT-FAIL	FL-016	ko	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-LOCAL-SIGNAL-EMPTY-EN-FL-012-en-1440x1000-desktop-chromium-darwin.png	f228f3b9c1efea78247b505f8a3df84001f228caa9250691a72a046298b5a569	1440	1000	1440x1000	B-PX-LOCAL-SIGNAL-EMPTY-EN	LOCAL-SIGNAL-EMPTY	FL-012	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-LOCAL-SIGNAL-FAIL-KO-FL-012-ko-1440x1000-desktop-chromium-darwin.png	a64cdb8bfd69e01c373bab6342b2fd8a5d3e944969c447d4be90f71c1eaac567	1440	1000	1440x1000	B-PX-LOCAL-SIGNAL-FAIL-KO	LOCAL-SIGNAL-FAIL	FL-012	ko	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-LOCAL-SIGNAL-SUCCESS-EN-FL-012-FL-015-en-1440x1000-desktop-chromium-darwin.png	c8b37a219ceb1aa221f2ba1c5be5c287937cb856bf942fda3609b8dd967d4a69	1440	1000	1440x1000	B-PX-LOCAL-SIGNAL-SUCCESS-EN	LOCAL-SIGNAL-SUCCESS	FL-012,FL-015	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
